"Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","RainToday","Humidity9am","Cloud9am","Pressure9am","WindDir9am","WindDir3pm","Cloud5pm","RainTomorrow"
"AliceSprings",15.7,34.9,0,"SSE",63,"No",31,1,1015.9,"ENE","NNE",0.2,"Yes"
"Watsonia",11.9,NA,52.2,"W",44,NA,90,NA,1011.4,"WSW","SSW",NA,"No"
"Brisbane",22.3,NA,2.6,"ENE",24,NA,86,8,1016.2,"S","NE",1.6,"Yes"
NA,6.6,NA,0.2,"SSW",35,"No",98,NA,1023.6,"WNW","SSW",NA,"No"
"Darwin",25.1,NA,0.2,"ESE",30,"No",80,6,1008,"ENE","NE",1.2,"Yes"
"Nuriootpa",NA,21.7,14.4,"S",35,"Yes",93,8,1011.2,"ESE","SE",1.6,"No"
"Cairns",25.7,33.7,0,"SSE",56,"No",67,7,1007.6,"SSE","SE",1.4,"Yes"
"Cobar",0.8,14.4,0,"S",26,"No",70,0,1033.3,"S","SSE",0,"No"
"Wollongong",21.2,25.5,3.8,"ENE",33,"Yes",79,8,1026.9,"NE","ENE",1.6,"Yes"
"Uluru",9.9,24.6,0,"SSW",44,"No",68,8,1021.1,"SSW","SSW",1.6,"No"
"Bendigo",7.8,23.4,0,"N",44,"No",69,0,1028.3,"ESE","NNE",0,"No"
"MelbourneAirport",5.6,12.9,1.6,"S",46,"Yes",95,7,1021.4,NA,"SSW",1.4,"No"
"Brisbane",20.1,28.3,81.8,"E",19,NA,81,6,1018.3,"SSE","NE",1.2,"No"
"MountGambier",NA,26,0,"SSE",41,"No",77,8,1018.6,"abcdefgh","S",1.6,"No"
"MelbourneAirport",NA,14.9,0,"SSW",35,"No",66,3,1025.8,"W","SW",0.6,"No"
"Mildura",3.1,13.7,0,"WSW",22,"No",NA,1,1028.2,"SW","SW",0.2,"No"
"Uluru",23.1,NA,0,"SW",69,"No",7,1,1006.1,"NNW","NW",0.2,"No"
"MountGambier",8.1,20.8,0,"E",24,"No",80,3,NA,"E","ESE",0.6,"No"
"Katherine",14.9,NA,0,"ESE",41,"No",74,0,1016.1,NA,"SE",0,"No"
"Hobart",3.4,13.4,0.2,"NW",33,"No",74,1,1028.8,"NNW","NW",0.2,"No"
"Perth",9.1,17.9,2.8,NA,30,"Yes",97,NA,1021.2,"SSW","SSW",NA,"Yes"
"CoffsHarbour",19.9,29.5,1.2,"NNE",NA,"Yes",64,2,1019.3,"NNW","NNE",0.4,"No"
"Brisbane",19.9,31.3,0.6,"S",52,NA,67,7,1008.1,"WNW","NNW",1.4,"Yes"
"Watsonia",5.7,19.2,0.2,"ENE",11,NA,NA,1,1031.6,"ENE","ESE",0.2,"No"
"Darwin",NA,31,0,"NW",31,"No",41,4,1015.5,"ESE","NW",0.8,"No"
"NorfolkIsland",16.2,20,0.4,"NE",24,NA,61,8,1014.7,"E","NE",1.6,"Yes"
"Nuriootpa",4.8,15.4,0,"SSW",50,"No",49,NA,1019.9,"SSW","S",NA,"No"
"Darwin",24.3,30.3,33.4,"WSW",56,"Yes",81,7,1006.9,"W","NW",1.4,"Yes"
NA,11.6,17.3,20.6,"SSW",56,"Yes",91,3,1019.8,"SSW","SW",0.6,"Yes"
"Townsville",25.3,31.6,0,"NE",37,"No",62,3,1006.9,"ESE","ENE",0.6,"No"
"Brisbane",12.5,20.5,0,"SE",22,"No",82,NA,1025.3,"SSW","N",NA,"No"
"NorfolkIsland",16.5,19.5,NA,"NW",46,"No",69,8,1010.3,"NW","WNW",1.6,"No"
"NorfolkIsland",NA,19.2,1.8,"SSE",35,"Yes",69,5,1020.4,"SSW","SSE",1,"No"
"Cobar",11.6,15.4,7.6,"WNW",31,"Yes",NA,7,1014.2,"WNW","WNW",1.4,"Yes"
"Cairns",15.8,26.2,0,"SE",48,"No",74,NA,1020.1,"SSE",NA,NA,"No"
NA,13.3,29.7,0,"ESE",39,"No",NA,1,1021.6,"SE","SSW",0.2,"No"
"MelbourneAirport",NA,34.3,0,"SSE",35,"No",NA,4,1018.6,"WSW","SSE",0.8,"No"
"PerthAirport",18.5,30.6,0,"SW",NA,"No",NA,6,1016.1,"SE","SSE",1.2,"No"
"Sale",11.4,26.6,0,"WSW",33,"No",70,NA,1018.9,"W","WNW",NA,"No"
"Albury",5,12.6,1.4,"WNW",52,"Yes",100,8,1025.6,"ENE","W",1.6,"No"
"Darwin",28.1,NA,0,NA,39,"No",76,7,1007.7,"W","WNW",1.4,"No"
"MelbourneAirport",2.2,13,NA,"N",26,"No",85,7,1024.3,"N",NA,1.4,"No"
"Watsonia",10.2,NA,0,"E",26,"No",95,0,1024.1,"NE","NE",0,"No"
"AliceSprings",14.2,38.2,0,"SSE",NA,NA,NA,1,1013.7,"ENE","SSE",0.2,"No"
"Watsonia",9.2,14,3.4,"SW",43,"Yes",96,7,1017,"W",NA,1.4,"No"
NA,17.6,22.1,0,"SE",39,NA,75,7,1023.1,"SE","SE",1.4,"No"
"Brisbane",24.1,30.7,0,"W",48,"No",65,6,NA,"N","SSW",1.2,"Yes"
"Sydney",13.6,NA,0,NA,28,"No",NA,1,1021.4,"W","NE",0.2,"No"
"NorfolkIsland",21.2,NA,0.4,"ESE",48,"No",82,NA,1018.2,NA,"ESE",NA,"No"
"WaggaWagga",4.5,19,0,"ENE",30,NA,73,1,1021,"NE","SSE",0.2,"No"
"PerthAirport",9.8,21.5,NA,NA,39,"No",51,7,1022.1,NA,"NNE",1.4,"No"
NA,9.4,18.1,0,"NE",NA,"No",60,2,1018.6,"NNE","NE",0.4,"No"
"Portland",5.5,14.9,0,"W",57,NA,64,5,1013.6,"NW","W",1,"No"
"Watsonia",6.5,12.9,NA,"SW",24,"No",100,7,1030.6,"ENE","S",1.4,"No"
"Hobart",NA,18,0,"NNW",50,"No",83,7,1018.7,"NW",NA,1.4,"No"
NA,7.5,13.2,46.8,"S",67,"Yes",96,NA,1007.7,"WSW","S",NA,"Yes"
"MountGambier",NA,18.5,5.4,"SW",NA,"Yes",97,8,1017.4,"S","SW",1.6,"No"
"Watsonia",9.6,22,9.4,"W",37,"Yes",NA,6,1018.5,"W","SW",1.2,"No"
"Wollongong",16.8,NA,0,"SE",46,NA,69,8,1035.8,NA,"SSE",1.6,"Yes"
"AliceSprings",22.3,28.8,0,"SE",54,"No",48,7,1008,"SSE",NA,1.4,"No"
NA,19.8,37,NA,"N",69,"Yes",61,7,1009.8,"N","NNW",1.4,"No"
"Hobart",12.9,20.1,NA,"SE",35,NA,54,6,1015.1,"ESE","SE",1.2,"No"
"Woomera",21.8,NA,0,"WSW",61,"No",6,2,1013.7,"ENE","WSW",0.4,"No"
"MountGambier",2.1,17.8,0,"S",31,NA,92,5,1014.8,"SSE","SSW",1,"No"
"PerthAirport",18.5,32.4,0,NA,50,"No",45,0,1024.4,"E","ESE",0,"No"
"Cairns",22.3,30.7,39.6,"E",37,"Yes",83,7,1011.3,"SSE","SE",1.4,"Yes"
"Uluru",10.6,20.3,0,"SSW",26,"No",48,NA,1021.3,"ESE","SE",NA,"No"
"Darwin",23.1,33.3,NA,NA,43,NA,64,6,1013.3,"SE","E",1.2,"No"
"WaggaWagga",8.4,25.3,0,"SW",31,"No",NA,1,1020.5,"W","WSW",0.2,"No"
"SydneyAirport",15.5,22.9,0,"WNW",72,"No",47,7,1008.2,"W","W",1.4,"No"
"Sale",9.5,17.9,0.2,"W",65,"No",57,6,1010.4,"WNW","W",1.2,"No"
NA,12.1,25.6,0,"SW",37,NA,57,2,1018.8,"SE","SSW",0.4,"No"
"Townsville",24.8,32.7,0,"ENE",41,"No",64,4,1010.3,"SE","ENE",0.8,"No"
"Brisbane",16.8,27.4,0.2,"E",NA,"No",47,6,1026.4,"ESE","ESE",1.2,"Yes"
"Brisbane",9.6,20.1,0,"W",33,NA,66,1,1012.1,"W","WNW",0.2,"No"
"MelbourneAirport",5.1,18.2,NA,"WNW",46,"No",48,2,1017.3,"WSW","W",0.4,"No"
"Watsonia",10.3,20.5,0,NA,50,"No",NA,2,1017.2,"NNE","N",0.4,"Yes"
"SydneyAirport",8.9,20.3,0,"NW",20,"No",78,7,1029.2,"NW","NE",1.4,"Yes"
"Hobart",8.5,18.4,0.2,"NW",70,"No",43,2,1006.7,"NW","NW",0.4,"Yes"
"PerthAirport",17.1,31.7,0,NA,39,"No",31,NA,1021.7,"ENE","S",NA,"No"
"Cobar",7.3,21.7,0,"S",43,"No",55,0,1018.5,NA,NA,0,"No"
"Cobar",12.3,13.3,4.5,"SW",39,"Yes",94,8,NA,"SSE","SSW",1.6,"Yes"
"Williamtown",20.8,25.4,0,"ESE",NA,"No",56,8,1020.7,"ESE","SE",1.6,"No"
"Cairns",20.7,27,3.2,"SE",54,NA,74,4,1018,"SSE","SE",0.8,"Yes"
"Watsonia",8.4,24,1.8,NA,31,"Yes",65,7,1013,"W","WSW",1.4,"No"
NA,5.2,16.5,0,"NE",NA,"No",NA,2,1024.6,"E","NE",0.4,"No"
"SydneyAirport",6.3,17.6,0,"WSW",39,NA,57,NA,NA,"WNW","W",NA,"No"
"CoffsHarbour",6.6,25.1,0,"WNW",33,"No",38,NA,1014.1,NA,NA,NA,"No"
"Cobar",16.1,28,0,"E",46,"No",59,6,1030.5,"E","E",1.2,"No"
"Bendigo",14.3,35.4,0,"SSE",50,NA,28,1,NA,NA,"SE",0.2,"No"
"Cairns",22.2,31.3,0,"ESE",31,"No",59,NA,1013,"SSE","E",NA,"No"
"Bendigo",5.7,17.2,NA,"NNW",48,"No",NA,1,1018.1,"NNE","NNW",0.2,"No"
"Sale",7.7,23.1,0,"SSW",30,"No",71,7,1018.1,"WNW","SSE",1.4,"Yes"
NA,NA,20.1,0.2,"S",26,"No",91,7,1025,"SE","ESE",1.4,"No"
"Canberra",15.1,NA,0,"E",50,"No",73,7,1015.5,"E","W",1.4,"No"
"Watsonia",8.4,19,0,"SW",33,"No",NA,7,1013.8,NA,"SW",1.4,"No"
"Sydney",15.1,18.7,NA,"SSE",80,"No",68,7,1016.2,"SSE",NA,1.4,"Yes"
"Sale",7.7,13.7,0,"SSW",35,"No",89,5,1025.2,"W","SSW",1,"No"
NA,NA,32.6,0,"S",37,"No",40,7,1015.8,"ENE","ENE",1.4,"No"
"Melbourne",3.1,15.2,0,"NNE",43,"No",80,1,1032.9,"N","NNE",0.2,"No"
"Mildura",4.2,18.8,0,"W",30,"No",82,NA,1030.4,"SW","WSW",NA,"No"
"Sale",9,14.4,NA,"WNW",59,"No",75,3,1018.3,"W",NA,0.6,"No"
"Mildura",4.3,14.6,NA,"S",33,"No",93,1,1026.3,"SSW","S",0.2,"No"
"Katherine",24.4,39.3,0,"NW",35,"No",74,1,1009.9,"NW","NNW",0.2,"No"
"Ballarat",12,30.4,0,"WSW",57,"No",42,2,NA,"NNE","S",0.4,"No"
"Portland",8,15.4,2.8,"W",57,"Yes",NA,NA,1018.9,"NW","NW",NA,"No"
"Woomera",16.9,31.9,0,"SSE",39,"No",75,5,1019.6,"SE","ENE",1,"No"
"Hobart",9.9,13.5,2,"S",NA,"Yes",79,6,1013.4,"SSW","SSE",1.2,"Yes"
"Mildura",NA,17.1,1.2,"WNW",50,"Yes",82,NA,1015.4,"NW",NA,NA,"Yes"
"Townsville",23.3,29.4,1.2,"E",43,"Yes",78,7,1013,"SE","E",1.4,"No"
"Cobar",13,26.8,0,"WSW",31,NA,44,1,1018.9,"S","W",0.2,"No"
"Moree",19.1,29.1,0,"N",37,"No",71,7,1017.5,NA,"ESE",1.4,"No"
"Nuriootpa",5,18.5,0.2,"WNW",33,"No",59,8,1023.5,"SW","WSW",1.6,"No"
"Katherine",14.8,33.1,0,"E",43,NA,33,0,NA,"SE","SSE",0,"No"
"Cobar",23.2,39.8,0,"SSE",39,"No",32,1,1013.6,"ENE",NA,0.2,"No"
"Canberra",16.6,24.2,0.2,"NW",NA,"No",72,7,1007.9,"WNW","NW",1.4,"Yes"
"Sydney",21,25.7,0,"W",76,NA,21,1,1002.9,"SW","WSW",0.2,"No"
"AliceSprings",16.6,NA,0,"NW",52,NA,21,0,NA,"NNW","NW",0,"No"
"Portland",14.3,19.8,0,"SW",41,"No",67,8,NA,NA,"SE",1.6,"No"
"Sydney",11.9,23.4,0,"NW",50,"No",58,0,1019.5,"N",NA,0,"No"
NA,7.4,24,NA,"SSW",44,"No",56,0,1021.2,"S","S",0,"No"
"CoffsHarbour",5.2,19.3,0,"NW",20,"No",48,3,NA,"WNW","SE",0.6,"No"
"Moree",9.5,25,0,"ENE",35,"No",NA,2,1026.1,"E","E",0.4,"No"
"Nuriootpa",7.6,23.4,0,"WNW",41,"No",64,NA,1024.5,"NNW","WNW",NA,"No"
"Townsville",24.4,NA,0,"SSE",39,"No",62,7,NA,"S","S",1.4,"No"
"Moree",10.7,30.9,NA,"ENE",28,"No",54,1,1013.5,"ENE","N",0.2,"No"
"Portland",13.3,NA,3.8,"NW",46,"Yes",88,4,NA,"NW",NA,0.8,"No"
"PerthAirport",19.5,36,0,"E",57,"No",53,0,NA,"ENE","WSW",0,"No"
"Canberra",-0.2,10.5,0,"WNW",52,"No",71,1,1020.3,"NW","NW",0.2,"No"
"WaggaWagga",3.4,20.9,0,"WNW",28,"No",78,1,1018.1,"E","SSW",0.2,"No"
"Cairns",NA,29.1,NA,"NE",44,"No",60,1,1016.5,"SE","NNE",0.2,"No"
NA,18.9,NA,0,"S",43,"No",49,3,1017.5,"ESE",NA,0.6,"No"
"Wollongong",11.8,18.3,0,"WSW",56,"No",68,8,1019.2,"WSW","S",1.6,"No"
"Wollongong",14.4,NA,0,"ENE",83,"No",75,7,1016.1,"NNE","NE",1.4,"Yes"
NA,20,26.1,0,"SSW",28,"No",55,7,1018.9,"SW","ESE",1.4,"No"
"Woomera",14.5,33.3,0,NA,54,"No",24,5,1012,"ENE","N",1,"No"
"AliceSprings",9.3,NA,0,NA,28,"No",48,7,1021.2,"SSW","SSE",1.4,"No"
"Perth",12.8,18,4.8,"WNW",NA,"Yes",67,3,1004.6,"WNW","WNW",0.6,"Yes"
"Canberra",2.4,NA,NA,"NW",NA,"No",53,2,1009.4,"WNW","NW",0.4,"Yes"
"Williamtown",NA,18.2,NA,"W",NA,"No",NA,0,1018,"W","SW",0,"No"
"MountGambier",10.3,17.4,0.8,"WSW",74,"No",NA,2,1016.4,NA,NA,0.4,"Yes"
"Canberra",15.9,23.4,NA,"ESE",50,NA,69,8,1016.8,"ESE","ESE",1.6,"No"
"Nuriootpa",18.6,22.2,0,NA,44,"No",58,NA,1010,"W","WNW",NA,"Yes"
"Canberra",-1.9,7.3,0,"WNW",15,"No",NA,8,1030.7,"SSW","WSW",1.6,"No"
"Wollongong",19,21.5,6,"S",56,NA,90,8,1020,"SW","SW",1.6,"Yes"
"Williamtown",8.5,21.2,1,"SE",31,"No",NA,4,1034.7,"WNW","SSE",0.8,"No"
"Perth",6,18.2,4.2,"SW",17,"Yes",87,1,1026.4,NA,NA,0.2,"No"
"MelbourneAirport",16.7,18.9,NA,"WSW",54,"Yes",NA,8,NA,NA,"SSW",1.6,"Yes"
"Townsville",24.3,30.4,0,"E",44,NA,62,4,1009.6,"ESE","ENE",0.8,"No"
"MountGambier",0.4,13.2,2.6,"WNW",26,"Yes",83,4,1031,"WNW",NA,0.8,"No"
"Cairns",24.4,32.4,0,"E",NA,"No",83,8,1013.5,"S","ESE",1.6,"No"
"Darwin",24.9,32.2,4,"NW",NA,NA,NA,7,NA,"N","NNW",1.4,"Yes"
"PerthAirport",5.2,22.3,0,"SE",NA,"No",68,NA,1028.1,"ENE","SSW",NA,"No"
"Portland",18,21.4,0,"S",50,"No",78,3,1012.5,"SSW","S",0.6,"No"
"Cobar",NA,31,0,NA,22,"No",69,1,1004.3,"E","SSW",0.2,"No"
"Mildura",9.6,NA,0,"NW",35,NA,76,NA,NA,"N",NA,NA,"No"
"Katherine",12,31.7,0,"E",35,NA,49,7,1016.6,NA,NA,1.4,"No"
NA,16.4,27.5,0,NA,37,"No",56,NA,1022.1,"SE","ENE",NA,"No"
"Moree",3.1,NA,0,"NNW",33,"No",59,NA,1017.7,NA,NA,NA,"No"
"Portland",9.7,10.7,10,NA,74,"Yes",89,NA,996.2,NA,"W",NA,"Yes"
"Moree",6.1,24.7,0,"NE",31,"No",57,0,1025.7,NA,"ENE",0,"Yes"
"PerthAirport",NA,19.4,2.2,"WSW",28,"Yes",94,7,1016.4,"SSW","SW",1.4,"No"
"MelbourneAirport",5.6,12.4,0,"NNE",85,"No",87,8,1020,"N","NNE",1.6,"Yes"
"Sale",10,19.4,0,"S",37,"No",NA,3,1016.8,"W","SE",0.6,"No"
"Bendigo",10.7,24.5,0,"NNW",54,"No",NA,NA,1015.5,"NE","N",NA,"Yes"
"Townsville",23.7,31,20,"E",43,"Yes",78,NA,1011.4,"SE",NA,NA,"Yes"
"Cairns",19.4,25.8,4.2,"SSE",54,"Yes",86,7,1019.4,"S","SE",1.4,"Yes"
NA,14.3,23.2,0,"SSE",35,"No",66,NA,1025.1,"SSE","E",NA,"No"
"Nuriootpa",6.4,26,0,"ENE",48,"No",63,3,1026.5,NA,"N",0.6,"No"
"NorfolkIsland",16.8,21.8,0.2,NA,43,NA,87,NA,1018.2,"SE","SE",NA,"No"
"Moree",NA,34,NA,"NE",44,"No",52,1,1011.5,"E","E",0.2,"No"
"WaggaWagga",19.8,22.8,0,NA,NA,"No",69,7,1005.1,"E","SE",1.4,"Yes"
"Brisbane",16.9,26.5,NA,"E",26,"Yes",58,2,1018.6,NA,"ENE",0.4,"No"
"Moree",13.6,29,0,"SSW",39,"No",85,0,1017.3,"SE","SW",0,"No"
"SydneyAirport",18.5,25.6,0,"NNE",37,"No",87,7,NA,"S","E",1.4,"No"
"Albury",NA,9.7,5.2,"NNW",44,"Yes",91,8,1006.6,"NNW","WNW",1.6,"No"
"WaggaWagga",0.9,12.8,0,"W",17,NA,82,7,1028.8,"E","SW",1.4,"No"
"Moree",17.4,29.9,0,"ENE",43,"No",59,2,1017.7,"E","ENE",0.4,"No"
"Sale",9,31.4,0,"SE",50,"No",71,2,1019.8,"WNW","SSE",0.4,"No"
"Melbourne",13.5,29.9,0,"N",37,"No",NA,3,1017.9,"N","N",0.6,"No"
"Darwin",24.3,32.1,7,"WSW",31,"Yes",NA,5,1009,"SSE",NA,1,"No"
"Mildura",11.5,28.8,0,NA,NA,NA,49,6,1013.2,"SE","S",1.2,"No"
"Brisbane",10.4,22.4,0,"W",35,"No",50,0,1012.5,"WNW","W",0,"No"
"Sydney",18.5,25.5,0,"ENE",31,"No",71,5,1021.9,"N","E",1,"No"
"Nuriootpa",10.2,28.6,NA,"SE",33,"No",35,NA,1023.9,"E","SW",NA,"No"
"PerthAirport",20.3,27.5,0,"SW",41,"No",50,4,1012.6,"SSE","SW",0.8,"No"
"Portland",6.6,14.1,2,NA,44,"Yes",72,8,1019.8,"SW","WNW",1.6,"Yes"
"Sale",4.2,15.9,0,"W",31,"No",71,8,1022.4,"N",NA,1.6,"No"
"Cairns",15.9,26.7,0,"SE",44,NA,59,NA,1018.4,"S",NA,NA,"Yes"
"Albury",11.8,34.6,0,"WSW",NA,"No",57,5,1012.7,"SSE","NNW",1,"No"
"Brisbane",12.1,22.8,0,"W",17,"No",69,6,1030.6,"SW","W",1.2,"No"
"Wollongong",NA,20.1,NA,"NNW",37,NA,59,6,1006.1,"NW","E",1.2,"No"
"Perth",13,24.9,0,"SW",44,"No",53,NA,1019.3,"S","SSW",NA,"No"
"SydneyAirport",15.2,24.1,0,"SSW",NA,"No",42,1,1013.4,"W",NA,0.2,"No"
"Sale",9.5,14.4,0.8,NA,26,NA,NA,8,1035.5,"W","W",1.6,"No"
"Melbourne",10.2,15.4,0,"S",39,"No",70,NA,1017,"NW","S",NA,"Yes"
"Richmond",18.3,34,0,"NE",28,"No",76,8,1019.6,"NNE","ENE",1.6,"No"
NA,21.9,28.3,0,"SE",35,"No",65,7,1011.7,"WSW","SE",1.4,"Yes"
"NorfolkIsland",18.1,25.2,0,"W",31,"No",68,1,1017.6,"WNW","W",0.2,"Yes"
"Watsonia",13.9,20,0,"SSW",61,"No",56,7,1004.8,NA,"SW",1.4,"No"
"SydneyAirport",13.8,23.5,0.4,"W",72,NA,38,4,NA,"WNW","WNW",0.8,"No"
"Townsville",17.3,27.9,0,"NE",30,"No",54,6,1015.3,"SE","NE",1.2,"No"
"Katherine",21,NA,0,"E",31,"No",64,1,1013.5,"NW","ESE",0.2,"No"
"Townsville",23.6,28.4,0,"ESE",54,NA,70,8,1019.4,"ESE",NA,1.6,"No"
"NorfolkIsland",18.6,NA,0,"NW",39,"No",89,7,1015,"NW","WNW",1.4,"No"
"Watsonia",7.3,19,0,"SSW",22,"No",85,2,NA,"ENE","SSW",0.4,"No"
NA,27.6,33.2,0,"WNW",37,NA,69,NA,NA,"WNW",NA,NA,"No"
"MelbourneAirport",5.2,13.1,0.2,"N",NA,"No",80,NA,1027.3,"N","N",NA,"No"
"Cobar",8.9,25.4,0,"NNW",33,"No",48,0,1023,"ENE","NW",0,"No"
NA,9.1,31.3,0,"NNE",35,"No",19,NA,1018.2,NA,"N",NA,"No"
"Mildura",5,14.3,NA,"WNW",22,"No",97,8,1011.2,"WSW",NA,1.6,"No"
"NorfolkIsland",13.1,NA,0,"SW",NA,"No",62,5,1021.2,"SW","S",1,"No"
NA,8.8,23.7,0.4,"SSE",37,"No",56,1,1027.2,"SSE","S",0.2,"No"
"SydneyAirport",22,NA,0,"NE",61,"No",58,3,1016.9,"N","NE",0.6,"No"
"Sale",12.2,17.7,0.6,"ESE",35,"No",80,8,1015.1,"SE","ESE",1.6,"Yes"
"Woomera",4.3,19.6,NA,NA,30,"No",62,0,1027.3,"NE","NNW",0,"No"
NA,25.4,35.2,NA,"E",33,"No",68,2,1010,"E","NNW",0.4,"No"
"Brisbane",14.1,26.9,0,NA,20,"No",51,5,1019.3,"SW","NE",1,"No"
"PerthAirport",NA,26.2,NA,"W",35,"No",49,0,1018.8,"NE","WSW",0,"No"
